,#,kVp (kV),th (deg),Air (mm),Al (mm),Cu (mm),Sn (mm),Pb (mm),Be (mm),HVL1 Al (mm),HVL2 Al (mm),HVL1 Cu (mm),HVL2 Cu (mm),Mean energy (keV),Air kerma (uGy),Mean conv. coeff. (Sv/Gy)
0,Iteration 1,57.02818838340363,21.566602595695965,952.5648763735371,3.9346592806219203,0.578967214104297,0.0,0.0,0.0,5.467205013267611,5.774806500539668,0.20986036528453908,0.23248305548511136,45.83362899942115,1.2010420138613997,1.5543864076578053
1,Iteration 2,65.11906222754192,20.562470777637156,1003.1818728925136,4.24561711294334,0.5788821901359454,0.0,0.0,0.0,6.355972023308567,6.769908546492221,0.2639987570673464,0.3021601767892878,50.175188351718,2.6005807485604224,1.6201230163476732
2,Iteration 3,59.08707161081472,19.76764940415921,980.0183385128881,3.721198711353496,0.584695155685551,0.0,0.0,0.0,5.70253139718666,6.0384182696396325,0.22335535270364765,0.24955449792521245,46.975028466898706,1.6315464291743336,1.5749482438056603
3,Iteration 4,59.69941156790781,19.090830871542025,953.0924156559599,4.26193198798806,0.64637023239257,0.0,0.0,0.0,5.951716369559636,6.265332293515222,0.23746845188052126,0.26334059191672243,47.857008085334336,1.246177397096839,1.5926616578687758
4,Iteration 5,60.90573596870055,21.086137233409975,1048.0828672273083,3.9144992372812695,0.6228721701005723,0.0,0.0,0.0,6.003981240297231,6.34628503462706,0.24103082244662383,0.2697367251236857,48.25698820307562,1.6116951046027754,1.6002025736385728
5,Iteration 6,55.72575879568037,20.97230884487443,973.3988206272802,4.2224941833577505,0.5811338287703111,0.0,0.0,0.0,5.342346321561091,5.628089383902181,0.2028378212665053,0.2231952321871657,45.18544555883651,1.0606873023731709,1.5497207478278456
6,Iteration 7,60.499865972040766,22.32481138136514,942.6464356407923,4.086118845023313,0.6222172008933133,0.0,0.0,0.0,5.964628735702824,6.300226819192089,0.23858141945587297,0.2664401972151552,48.05218607993811,1.5881285090140207,1.5939222890862297
7,Iteration 8,56.91306279203593,20.53302881253996,1014.3309198127577,4.321216289490104,0.6477124649351678,0.0,0.0,0.0,5.63123987717772,5.908492330532326,0.21851059782525348,0.23961368270910718,46.311677247402,0.9313780386582939,1.5742858675950182
8,Iteration 9,57.14045977975469,19.248314040279936,1009.1741248986032,4.271117201153403,0.5694316655240734,0.0,0.0,0.0,5.485992169415228,5.794914370590403,0.21090211553450164,0.2337224801564938,45.91798985472744,1.2744530812810932,1.5593479557246162
9,Iteration 10,57.47854812155114,20.388463574556308,948.2463486079778,4.2785397140093835,0.6024906463453712,0.0,0.0,0.0,5.597458983927291,5.898472249561708,0.216953849912774,0.23975384210675138,46.32396563841097,1.1985075357422965,1.5707745595613194
10,Iteration 11,60.99315343596775,19.25385231429988,1008.2021334126125,4.210065850481132,0.5506770234541581,0.0,0.0,0.0,5.855859596243195,6.227296466757418,0.2327203181136505,0.2629127629061291,47.83199633365934,2.0271758578690813,1.5874741080782155
11,Iteration 12,62.60991571239862,20.6107982572529,943.9757989454165,4.122779895946923,0.5569110680718691,0.0,0.0,0.0,6.029666477107047,6.422109428244284,0.24337098140071609,0.2767197531725294,48.6837270197364,2.292256657665563,1.599365226121452
12,Iteration 13,60.549339834937456,18.21769816008061,1096.2562496338605,4.245964725882709,0.6030464049257145,0.0,0.0,0.0,5.948624630821748,6.290170656068711,0.2377251735976923,0.2659841543119338,48.02295975989978,1.585717819520284,1.5900879818536655
13,Iteration 14,58.31889242535585,20.573981781634973,934.4275716101796,4.34293216490307,0.6181474023521204,0.0,0.0,0.0,5.732119119035524,6.037815293767496,0.2246021644288483,0.24851715808625138,46.904654274267735,1.1489887277681066,1.5782242949063288
14,Iteration 15,56.380538137087626,19.420457281561866,1040.153063751899,3.7579780574375703,0.5991452542320727,0.0,0.0,0.0,5.43510347804565,5.727641376031232,0.2079178383601136,0.2292265753161475,45.6066380283553,1.0910136512636197,1.5579176234259142
15,Iteration 16,62.205021496729145,18.977002947144722,1030.8610291833875,3.7840141869541117,0.5547857037813855,0.0,0.0,0.0,5.9632996351698875,6.355328203546669,0.2393780606016777,0.2721611311610688,48.40576410553286,2.370146662061289,1.5920933087383886
16,Iteration 17,63.96371978226393,18.980122730257733,967.0382452454182,4.137181242402731,0.5986857097300702,0.0,0.0,0.0,6.289604792829745,6.679757686588071,0.25936889675234054,0.2946396344356499,49.746750031791855,2.099354724749857,1.6118952218940832
17,Iteration 18,62.681710045862886,19.11179865855233,944.7562831294711,4.045851050150653,0.5864511096497768,0.0,0.0,0.0,6.116908522913759,6.496952487133392,0.24846746669837746,0.2813788139475405,48.96480075146817,2.023801429172066,1.604869232427827
18,Iteration 19,61.60092640234537,18.086310833275405,1100.0787265866395,3.895455802419419,0.5513578503841049,0.0,0.0,0.0,5.903341023131686,6.28678704773254,0.2356915412201141,0.2672627204752314,48.10364241911415,2.1680303203778992,1.5946250354136857
19,Iteration 20,55.54957039560998,20.76161631246589,955.3546004146561,4.29255643385893,0.6068048319105706,0.0,0.0,0.0,5.381950337292032,5.655566365976892,0.20481198544893817,0.2244546583201862,45.27088249427563,0.9442569750063796,1.5489068423582937
20,Iteration 21,59.10175819404851,19.346390644764792,957.088442595953,3.883998278490884,0.6306864696148393,0.0,0.0,0.0,5.825184808135085,6.140951995506289,0.23010007717382672,0.2553837627251674,47.35037733917664,1.3661698710271626,1.5849824476032737
21,Iteration 22,62.23333002195944,22.80462682307503,995.5258458310457,3.774619627103586,0.6215901611154054,0.0,0.0,0.0,6.129020142481083,6.491144285274346,0.24890853557271397,0.28028756497715346,48.9011936905962,1.9079657359222384,1.6070847860682858
22,Iteration 23,58.39823673006164,20.09910435306129,1069.9928818891572,4.2785670311017,0.6304251803117329,0.0,0.0,0.0,5.766651254356693,6.069335318614342,0.22653470563029035,0.2503977669046763,47.02719255323517,1.1349236990599945,1.5794359008083518
23,Iteration 24,55.76910788218968,20.75948245313244,995.5937702883454,3.7777181994956046,0.5856551440108241,0.0,0.0,0.0,5.33118246339532,5.620326723163091,0.20228435057617253,0.2228387362639652,45.16114838137262,1.0708941214619454,1.549684144285133
24,Iteration 25,60.81776927330693,19.577676385037005,1038.074774841844,3.9821809788506046,0.6347594349709584,0.0,0.0,0.0,6.031805356010601,6.367166682206719,0.24258458660125737,0.270866031946982,48.32676820138313,1.5402560966617957,1.602449014318391
25,Iteration 26,62.895555439517906,19.24068423568959,1128.1015289416896,3.6542994695060282,0.5889686131837943,0.0,0.0,0.0,6.118463351163922,6.505085126712282,0.2486744649003137,0.28219820368499,49.01335360325606,2.198322136346929,1.6061790424734528
26,Iteration 27,61.17108972056695,20.700107105768147,1022.4817499782944,3.731624764541479,0.614900766095338,0.0,0.0,0.0,6.002438371210401,6.353654475588817,0.2410766972225808,0.27055334227448374,48.30724081319082,1.616043075315321,1.5928802719783255
27,Iteration 28,63.17569517650126,18.460534943481917,1007.6293395143919,4.295381195903469,0.5732236915393072,0.0,0.0,0.0,6.153877929976209,6.5433913011710665,0.2508944945048494,0.28497201040533054,49.17845729724986,2.1791340355049025,1.601729207530446
