,#,kVp (kV),th (deg),Air (mm),Al (mm),Cu (mm),Sn (mm),Pb (mm),Be (mm),HVL1 Al (mm),HVL2 Al (mm),HVL1 Cu (mm),HVL2 Cu (mm),Mean energy (keV),Air kerma (uGy),Mean conv. coeff. (Sv/Gy)
0,Iteration 1,60.735500664924594,19.297465036153124,1074.2925147424094,3.912913097978479,0.5886794003617224,0.0,0.0,0.0,5.9071383255922445,6.261427656334556,0.23546282235134805,0.2645405724955503,47.93299179320933,1.694423626035752,1.5906199721425622
1,Iteration 2,58.65670021080957,20.542842739326616,1032.065565836716,3.9059999330243156,0.6511520388720399,0.0,0.0,0.0,5.818233946717275,6.120520824979245,0.22949481573989494,0.2536181575916112,47.23618137286615,1.194835131810401,1.5847605540236298
2,Iteration 3,59.02143112976853,21.883579817514537,1052.7480405253223,3.852886341506639,0.5580089550850036,0.0,0.0,0.0,5.630628372547587,5.975752859797446,0.21942018388313878,0.24592872786962666,46.73983954909459,1.692585009911613,1.5707100411587689
3,Iteration 4,57.50061717585449,20.346721905765886,944.1274334523561,4.253896212952979,0.5873610170460868,0.0,0.0,0.0,5.564010280948954,5.871300814321841,0.21518067530275128,0.23829397597077276,46.226941500754435,1.2589776610046923,1.5628991325874255
4,Iteration 5,56.641013069255735,20.14869782311763,1000.9080407000108,3.7510891709895002,0.6508397022039408,0.0,0.0,0.0,5.574736258788481,5.852657920890352,0.21537471398582986,0.23625019820749726,46.08459384892807,0.9847566715589762,1.5655487332087081
5,Iteration 6,60.29866256442439,22.196672533319763,1006.7513941286439,3.7792446591963076,0.5593941032994071,0.0,0.0,0.0,5.764911688843406,6.128465383534322,0.22731898530216726,0.2562147131621111,47.40783870411319,1.8516533001928013,1.5769904343102827
6,Iteration 7,57.26680932670796,21.499164866271073,1005.4792809330205,4.140977491531244,0.5949502556747092,0.0,0.0,0.0,5.545004325607491,5.847494736984085,0.2140567204486465,0.23669457865263044,46.11855860879427,1.2289951083142505,1.5677285109038093
7,Iteration 8,58.39933151674849,20.20009869994663,1004.5239344172202,4.060325549471352,0.5583795031883722,0.0,0.0,0.0,5.582789930547903,5.91633301624513,0.2165806966303105,0.24186993541942653,46.4698890791408,1.5234748271889205,1.5705393594072592
8,Iteration 9,57.049441997290714,17.95054825228557,1079.2827105029799,3.7811579802885125,0.6311844039005439,0.0,0.0,0.0,5.589569857336739,5.878964596035411,0.21635612634312718,0.23819724591980912,46.21735975241082,1.0529842146688804,1.5700588524104309
9,Iteration 10,56.85690092398709,19.41607241036647,969.0414492592157,4.142395203815871,0.5872267944252401,0.0,0.0,0.0,5.4861761953458625,5.785770151907668,0.21078954069678457,0.23289396747628416,45.8597659637624,1.162323203122689,1.5566278938704483
10,Iteration 11,59.946665933179894,19.946330864254797,1002.4172492345172,3.865099084331578,0.6068643238167708,0.0,0.0,0.0,5.860460796937386,6.197117960559624,0.23246549818450493,0.2597269292169201,47.62889708329847,1.6050312457434266,1.5911348975101207
11,Iteration 12,54.080383326155285,21.52378121937953,1033.3324086626592,4.345552972744615,0.5541749693846018,0.0,0.0,0.0,5.0964998354354245,5.368057155193491,0.18981247551747527,0.2080664437213094,44.0924519008356,0.8697385804653724,1.525742676916325
12,Iteration 13,64.07825561124508,19.701700936082407,982.0687619120467,3.8363977488734227,0.6261261064034873,0.0,0.0,0.0,6.34921483103683,6.73209321391643,0.2630158204753373,0.2980957100880088,49.9485718507117,2.0989612195093468,1.615399550907075
13,Iteration 14,68.16536474037727,19.08295532224047,944.512361483055,3.9604828358420114,0.6492965244798279,0.0,0.0,0.0,6.8367146446142675,7.258309353428779,0.29619667361578766,0.3399483267314016,52.24293316768554,2.8160611550730477,1.641935828522287
14,Iteration 15,57.78233119001734,20.154060581251628,1051.6649433723753,3.8510304578463366,0.6183581265998935,0.0,0.0,0.0,5.643380639036796,5.946791856029891,0.21954880107024302,0.24278465031811483,46.52626553428677,1.2263965354496926,1.571492985041172
15,Iteration 16,59.10116057379804,19.3175184939311,981.5613592231626,3.881175605764657,0.5933788014192457,0.0,0.0,0.0,5.737463756123183,6.06802161585128,0.22526994982235496,0.2512467696470069,47.08433302073056,1.4816225854675753,1.577471951072435
16,Iteration 17,59.83745344081318,21.206431048236464,980.9191897893435,4.292843390266789,0.5575701871601582,0.0,0.0,0.0,5.750066603404309,6.101488325818976,0.2262913405911164,0.254077055288516,47.26955503925499,1.6787227506546847,1.5761590198960642
17,Iteration 18,57.452621419672845,20.548470220430367,998.7939730555466,4.239709774619612,0.5732851265217148,0.0,0.0,0.0,5.5244240648608836,5.836670860618166,0.21305910517946303,0.23634513091250975,46.09655239702917,1.3525277432071454,1.5642016465577435
18,Iteration 19,59.75815886294566,18.7275162331846,983.2230652892665,3.9833137670945153,0.6047872903154692,0.0,0.0,0.0,5.846453695630812,6.179930564253713,0.23159354189940892,0.258493586288457,47.55001732333745,1.5210808470473172,1.5875661274477817
19,Iteration 20,62.95698542950204,20.355565585964516,916.2948935515519,3.7741811883669505,0.5613807689491411,0.0,0.0,0.0,6.052238420693461,6.452022628352562,0.24485573615343403,0.27904627170536234,48.82378078627714,2.411381985637145,1.599721093867869
20,Iteration 21,55.373921649545885,20.861965898251796,1025.4183263184495,4.104246597842766,0.556993959021989,0.0,0.0,0.0,5.239958316039729,5.5309449915989735,0.19748475304867796,0.21774735071424012,44.80120170873174,1.1225625891761808,1.5407396851488424
21,Iteration 22,62.00073947686284,18.087583715660653,1032.4505263545655,4.019922088631718,0.5599962834298674,0.0,0.0,0.0,5.97742302302054,6.360706438610485,0.2400907267673851,0.272208209132602,48.40848767038818,2.199771320330697,1.5983132498169643
22,Iteration 23,56.298108775656814,19.88006954724569,1013.4565104865761,4.113128347577408,0.5689945851423679,0.0,0.0,0.0,5.377182733317108,5.6763401066572,0.20487240384571598,0.22639335068180694,45.41207288494881,1.11032323634161,1.5490548563876143
23,Iteration 24,54.55664788676316,18.493134103229025,996.1017909457566,4.281207525151962,0.6130563986692326,0.0,0.0,0.0,5.28197768735429,5.540204976925702,0.19930282736840482,0.21738042474071373,44.7648063239164,0.7757761480544323,1.5428289201510286
24,Iteration 25,64.27806694386815,18.91419242108827,997.3770959952574,3.80651245967524,0.6476844266240682,0.0,0.0,0.0,6.42570487574469,6.801668590801827,0.267783398154811,0.3028381427456288,50.22273329874321,2.088235454146577,1.6238724112259642
25,Iteration 26,59.17137292264854,21.935585961917585,1006.1262681272561,4.198455460091173,0.5595657679392219,0.0,0.0,0.0,5.674469342879626,6.0169149354762625,0.22185272377283222,0.2484183927864959,46.90233509950871,1.49614332713056,1.571605877873916
26,Iteration 27,58.717049449546224,20.704181782872432,943.928697520755,3.7713558583285347,0.5810370167302844,0.0,0.0,0.0,5.653006039615117,5.984904304160815,0.22048916778551342,0.24606476877046202,46.74655025824524,1.5187460109210735,1.5722590374841041
27,Iteration 28,62.99427767149894,19.137841173267333,956.8601528731875,3.893881375485893,0.6460159490646962,0.0,0.0,0.0,6.290122577438193,6.649659479691683,0.258866298000158,0.29123373124733926,49.553019152839596,1.7870833212363966,1.6166472935809633
28,Iteration 29,61.2233652358185,19.27290749752582,980.191415421106,3.683634602610844,0.5497919070412276,0.0,0.0,0.0,5.83862929022083,6.220701337556003,0.23186581189847955,0.26284156764214955,47.82813247392155,2.1343710669373404,1.5889045375074151
29,Iteration 30,59.12982853903869,19.368146921193805,957.9430989880408,3.743401489077108,0.6436004879028516,0.0,0.0,0.0,5.848956504555033,6.161655950093439,0.23143259780562364,0.25660160612564725,47.42840912037316,1.2916476176464806,1.5887270423594746
30,Iteration 31,60.374980969518816,19.59418491763883,906.5903950091355,4.332483065372132,0.6161842428313964,0.0,0.0,0.0,5.960639579518411,6.293981840598409,0.2383076787395121,0.2659394634857454,48.020385794363584,1.4420094399956995,1.5942320537749284
31,Iteration 32,63.2472783345097,21.482508336328284,1029.4328701842453,3.8535162860247727,0.5550226174931603,0.0,0.0,0.0,6.0667269899139535,6.472721286747732,0.24582670831036374,0.28070384625370676,48.92316623468234,2.3315207575660164,1.5955916502914786
32,Iteration 33,60.395991486968285,20.651185839561983,942.4167085836549,4.25451087770189,0.5896058050427461,0.0,0.0,0.0,5.890384371406262,6.235984458463885,0.2343510366718874,0.26257370182591,47.80952073338085,1.5897903250061836,1.5863677840917336
33,Iteration 34,59.046240577071664,21.574113743882467,918.8388308578382,4.2017148154448485,0.572490910855995,0.0,0.0,0.0,5.693960295113961,6.029156284515849,0.22285886432004706,0.2489542325803142,46.936320402998795,1.5324038589669704,1.5794364054170544
34,Iteration 35,60.61515299362468,18.571338712312436,946.2464602889605,4.222785183399816,0.6002991854454102,0.0,0.0,0.0,5.945486009570523,6.28952925343706,0.23757634762031712,0.26603111662906576,48.025977771076874,1.5588577395008056,1.5904667741612513
35,Iteration 36,61.49338571327253,21.079473838922627,949.4743874080976,4.115694490541683,0.6166028215804743,0.0,0.0,0.0,6.065093746730921,6.415498466957291,0.24483664638703673,0.27468798709499975,48.56164619468726,1.8288591906811513,1.606303884493168
36,Iteration 37,58.47579191687783,20.492424135620272,938.6544274811287,3.7184368467142765,0.6429544266325374,0.0,0.0,0.0,5.7679788065385,6.072870911665347,0.22664451165772004,0.25069546701373546,47.04670244744493,1.172672177871811,1.5810509386702702
37,Iteration 38,60.41155029843951,19.897904399709393,1028.827964951266,4.078338174968121,0.5770586692865852,0.0,0.0,0.0,5.8515811298269576,6.204706117926502,0.23219415789579242,0.26079511693425383,47.6975040342816,1.6949977810392105,1.5848606106017775
38,Iteration 39,58.350376313107084,18.37037295806269,1047.8838064849206,4.21704769528542,0.5786401302884078,0.0,0.0,0.0,5.64375018514351,5.966091930542653,0.21983761884869632,0.24458707335960675,46.64771578383344,1.3961401374165043,1.5719457216731336
39,Iteration 40,61.108024512393754,19.970783264802566,983.695213304901,3.818194440659944,0.6162028652539526,0.0,0.0,0.0,6.006712437065387,6.355461235435756,0.24129615171607743,0.2705844420770521,48.30910227928954,1.679444332221155,1.5962066456215944
40,Iteration 41,61.12794242816473,21.235165565789963,1061.3593439614096,3.8419744280850088,0.6049275628210754,0.0,0.0,0.0,5.978844611754411,6.332507459766715,0.2397077670561455,0.26923510196172384,48.22582151257163,1.7288281493535844,1.5983291064616432
41,Iteration 42,58.37077112328806,21.058094543792965,941.3971004802111,3.7868758646251033,0.6109311391176204,0.0,0.0,0.0,5.685924896631374,6.000911087619926,0.22211408753023956,0.2465187553303219,46.77445668243081,1.285834344678004,1.5727860840086658
42,Iteration 43,60.47236802737107,19.808595746868367,1020.2506728347793,4.183816795887375,0.6198881792133191,0.0,0.0,0.0,5.970578343381968,6.3052682308631365,0.2389210202045549,0.26673536272160375,48.07017606131604,1.5139823618102246,1.5958602128172368
43,Iteration 44,59.12381184036037,20.739613314871914,954.5419131740516,4.2200037247560385,0.6315172998176982,0.0,0.0,0.0,5.8457439974985785,6.158192939530796,0.23124204934502934,0.2563749594472477,47.414189454283004,1.2526115229308856,1.5886156223133139
44,Iteration 45,61.737880590101454,18.809283200291866,960.8152056545275,3.732039466304703,0.5709412466056034,0.0,0.0,0.0,5.9554687684955825,6.333884626821953,0.2386969701001152,0.2702192742119071,48.28625632921036,2.20248578373734,1.5970717623278547
45,Iteration 46,64.34116122867091,20.244688118748442,1065.3703344507776,3.7774547881652483,0.5794365018415369,0.0,0.0,0.0,6.2454573344923965,6.6549554002556235,0.25692517438817003,0.2936577230389347,49.68656177809672,2.477377207006242,1.614091975877708
46,Iteration 47,52.14128720067431,19.770770357966114,1037.0654077255888,4.340026956394038,0.5511834659320951,0.0,0.0,0.0,4.863775298720643,5.109573648489684,0.17782309081376732,0.1934442855159811,42.974189371076456,0.7137957669986789,1.504391354827616
47,Iteration 48,57.82477289029481,19.534866131049004,981.73229245079,4.060301492730799,0.5644181658119239,0.0,0.0,0.0,5.536148755811559,5.859024444235563,0.21384473125637796,0.23802217071318812,46.21108743583474,1.3677341021566083,1.565738072232397
48,Iteration 49,59.69277962524891,19.719704324024313,905.7232082355566,4.225386190541099,0.6354708571750192,0.0,0.0,0.0,5.9221103501637185,6.240248989538024,0.2357919834802802,0.2618693262471922,47.764148799827694,1.3396713105377964,1.595880471390864
