,#,kVp (kV),th (deg),Air (mm),Al (mm),Cu (mm),Sn (mm),Pb (mm),Be (mm),HVL1 Al (mm),HVL2 Al (mm),HVL1 Cu (mm),HVL2 Cu (mm),Mean energy (keV),Air kerma (uGy),Mean conv. coeff. (Sv/Gy)
0,Iteration 1,64.99339457239871,19.19660030782174,1008.3789835965144,4.066403694084673,0.6333311091989109,0.0,0.0,0.0,6.480573049775604,6.868877669303032,0.27157277443313815,0.3083290821491759,50.531584304177,2.304748274862332,1.6243884558045774
1,Iteration 2,58.40741212777663,20.38381477939833,1038.4631604237895,4.283639278280153,0.5545225251309671,0.0,0.0,0.0,5.588773201575286,5.921445919419034,0.2169025816033863,0.24215916574878296,46.489024021533744,1.6657874653494635,1.5703541138380643
2,Iteration 3,60.158437778554045,21.923163118427738,989.5783419534791,3.7864770806290053,0.5519476623711462,0.0,0.0,0.0,5.7312970564251335,6.09621232386841,0.22541046343203133,0.2541912297407103,47.27850479811884,1.8556970617377366,1.5769336482055278
3,Iteration 4,65.34081614114987,19.94698893198723,939.7677657539487,3.7259208959565995,0.6192609794510583,0.0,0.0,0.0,6.452360090892778,6.856280017091077,0.27002341956797077,0.3080805468103394,50.51306069212597,2.454609137210333,1.6212347246922965
4,Iteration 5,62.08050805159615,19.826913646715308,1000.4111213770117,3.795353573857547,0.5936595586070934,0.0,0.0,0.0,6.052661003829755,6.424526497733412,0.24443073294576953,0.27610659604637844,48.64693912790326,2.012841191067447,1.595106426866354
5,Iteration 6,57.43714541285978,20.881553726127038,1004.7347665209231,4.169187082949836,0.6076647374966437,0.0,0.0,0.0,5.596611718243288,5.896278422306002,0.21688769060199653,0.23957758128009216,46.31202689408584,1.133031902929466,1.569160825198698
6,Iteration 7,58.16266063551092,18.51013819993977,1058.7908930745168,4.326244651715233,0.6362324618005941,0.0,0.0,0.0,5.759819519020837,6.05667430686043,0.22605650238649455,0.24940152626680762,46.961541857694336,1.0719518899595308,1.577591732044044
7,Iteration 8,59.119490148900745,20.073744096987607,1033.0762793234712,4.284742809995553,0.6361174085336337,0.0,0.0,0.0,5.861835390900423,6.171696114936114,0.2321393167916022,0.25714983628179494,47.46367575423103,1.2529108060376406,1.589202473611653
8,Iteration 9,62.94120977407233,21.008708966378727,961.4234635446999,3.888292582986127,0.636540505029336,0.0,0.0,0.0,6.254453603398646,6.617732209999485,0.25669409326482323,0.2891394495410962,49.42921170214014,1.8984694775118376,1.6089689879863887
9,Iteration 10,57.76934493183868,19.218191376232518,1004.5984663294048,3.8905622714077213,0.6027315878830072,0.0,0.0,0.0,5.611282878108692,5.919941497740594,0.2178232181682367,0.2412984859274206,46.42787416658322,1.24975488467834,1.5685747507360495
