,#,kVp (kV),th (deg),Air (mm),Al (mm),Cu (mm),Sn (mm),Pb (mm),Be (mm),HVL1 Al (mm),HVL2 Al (mm),HVL1 Cu (mm),HVL2 Cu (mm),Mean energy (keV),Air kerma (uGy),Mean conv. coeff. (Sv/Gy)
0,Iteration 1,61.89389871660083,22.271960652781555,1046.0182053659028,3.82932976393012,0.6305401558126208,0.0,0.0,0.0,6.1203111326495865,6.473422417209399,0.24823388723688558,0.2787292872462611,48.807690810805845,1.7390951337955363,1.60623401420628
1,Iteration 2,62.526563256200944,19.294851005871568,957.0876635150141,3.8068902539679836,0.6070318587345344,0.0,0.0,0.0,6.136767595944249,6.50833210070147,0.2495483601773267,0.2818395635087312,48.9931738255235,1.9511313327034072,1.608134836280873
2,Iteration 3,60.562499459413466,18.458057674505376,1004.2139369218363,3.788334339668868,0.6093274698776866,0.0,0.0,0.0,5.933927026461393,6.278404306665679,0.23690053554253487,0.26531282910350296,47.980961431452634,1.6281876392128976,1.5928072203705854
3,Iteration 4,59.993292933035974,22.64813080125886,1044.049228661928,3.9600380953698,0.6305576941845612,0.0,0.0,0.0,5.919941435365378,6.246926034582446,0.23580537090958262,0.26263087885832304,47.81291097807569,1.3894740595347461,1.5947003440979108
4,Iteration 5,63.117333239299775,19.49495401534289,1083.8914052293496,4.214069036553465,0.6223327161978405,0.0,0.0,0.0,6.265715200504723,6.633174954409495,0.2574700775054485,0.2903944071156309,49.502340207836745,1.816708738355135,1.6118433150069085
5,Iteration 6,55.433887424678254,19.83388191615366,937.6362029899718,3.967796326575072,0.5845701933483253,0.0,0.0,0.0,5.303445246309153,5.586389625350996,0.20073997258673523,0.22070932188818185,45.009166186726546,1.0271790334784516,1.5432726024932688
6,Iteration 7,58.24954569009362,22.167727217567514,1113.1857164990884,4.233702773323548,0.639654934508938,0.0,0.0,0.0,5.761578704364379,6.059664144653682,0.22616963387098704,0.2496307629861852,46.9771241673877,1.138937574235099,1.5835152188838835
7,Iteration 8,61.61461845804291,20.437422353907397,959.489988041014,4.2008463266001055,0.6445805120797954,0.0,0.0,0.0,6.152641015591179,6.492078473094173,0.2499851439521524,0.27947070410578245,48.85355003608826,1.5515377116236853,1.6044886953836497
8,Iteration 9,62.28503213154194,19.458438691356243,981.3835962235096,3.9830980067524178,0.5697563304918959,0.0,0.0,0.0,6.0253815096573,6.408735766828889,0.24296270959949404,0.2754584924908353,48.60709424372626,2.245054852198511,1.598907283491622
9,Iteration 10,54.67425949068178,19.073381329639876,1032.1470838783944,3.697163996704382,0.5641820710769964,0.0,0.0,0.0,5.155253595711483,5.437712290328041,0.19296394815434595,0.21223014855411967,44.40072510672884,1.082354786656449,1.5309872102223918
10,Iteration 11,60.845677172114144,21.413654020598756,1021.7351882941832,4.266068636679625,0.6317430757355353,0.0,0.0,0.0,6.039710578369558,6.3738184928701145,0.2430404064550879,0.2712698664921022,48.35218165079231,1.4594170405158766,1.5984221321733216
11,Iteration 12,56.110087102653466,20.91225157258998,965.8147522685899,4.253042689520117,0.6018002157352859,0.0,0.0,0.0,5.434545766873735,5.717775282690931,0.20776806863717942,0.22837486655426312,45.54615477121049,0.9983936103377142,1.5542575769289761
12,Iteration 13,63.290674124256434,20.45264393804123,1068.5868150914682,3.7374435674580235,0.6186463205136402,0.0,0.0,0.0,6.238810743635292,6.616128568559083,0.25595293646458217,0.2895885715786989,49.453376814283416,2.0811848337499668,1.6103965002656646
13,Iteration 14,63.955472761125236,20.02718907350608,1039.6371499978009,4.24444317396952,0.6439640669567672,0.0,0.0,0.0,6.407541527052814,6.776061396155773,0.26648609242163107,0.30066608239440734,50.10029458426974,1.8490057464849772,1.6228857779211285
14,Iteration 15,61.132741272802996,20.284599458960226,973.3568722364454,4.022407903166662,0.6156895684916779,0.0,0.0,0.0,6.020488301692935,6.367482940938271,0.24209292479961106,0.27132430811012076,48.35491097093457,1.5921763004819878,1.6027304245951421
15,Iteration 16,59.90916611471486,22.832223607173532,1003.4361161751002,3.902165486918642,0.6003293249947506,0.0,0.0,0.0,5.834076403138897,6.1728826244763,0.23095975647029246,0.25823832398477475,47.53490513943518,1.5889810037141956,1.5867870161902558
16,Iteration 17,57.31468008829984,21.79739101985205,1030.4830685652953,4.281578427292318,0.5612486397530492,0.0,0.0,0.0,5.479532538250824,5.794310357827889,0.21062326351553737,0.23386395735072782,45.929202211565354,1.3432482509291492,1.5586481604951914
17,Iteration 18,59.72650791051047,20.116505089114746,1009.4481389474562,4.005087330978354,0.5846017977452526,0.0,0.0,0.0,5.7905636790850785,6.131978936057855,0.22847262846970545,0.25568417148560707,47.37137814955384,1.6497654989544732,1.5855273460135444
18,Iteration 19,55.455688311464996,19.427922802074956,1001.1016372132779,4.251468012309229,0.5621025055334988,0.0,0.0,0.0,5.274118355745041,5.562645998893893,0.1992562632538657,0.21949768001040493,44.924842805534375,1.0756440250067243,1.539547021937475
