,#,kVp (kV),th (deg),Air (mm),Al (mm),Cu (mm),Sn (mm),Pb (mm),Be (mm),HVL1 Al (mm),HVL2 Al (mm),HVL1 Cu (mm),HVL2 Cu (mm),Mean energy (keV),Air kerma (uGy),Mean conv. coeff. (Sv/Gy)
0,Iteration 1,58.25977785355052,19.575354197389522,1061.2532028803068,4.315612719321716,0.6052870717504152,0.0,0.0,0.0,5.6984252711513586,6.008210963132606,0.2227425299768823,0.2467966153463785,46.791975075056286,1.1740217596500042,1.5736087663627418
1,Iteration 2,58.19927643166374,19.000577733813216,877.253166477612,4.013753451953394,0.5647308882384044,0.0,0.0,0.0,5.5765623370719855,5.905104003968493,0.21616165723916447,0.2410151785971425,46.41197742705485,1.5381625053112589,1.573298687011355
2,Iteration 3,66.04679460340306,20.233893567907995,1084.7234633185162,3.6624477378864237,0.6061350313665265,0.0,0.0,0.0,6.483059456025785,6.903407730231178,0.2723303788257768,0.31232608786057314,50.74629773659415,2.8144419043608524,1.6223194399388725
3,Iteration 4,56.471582278541845,19.998777058320716,1031.00664188871,4.035201104809579,0.6451701345942085,0.0,0.0,0.0,5.5593092643125965,5.834285136031563,0.2144843982680828,0.23505733994836853,46.00321493880384,0.9028928198352497,1.5674322276601775
4,Iteration 5,57.97057939606726,19.657095388504725,945.3525527748277,4.298938452643516,0.648180239669816,0.0,0.0,0.0,5.757315904705207,6.048039552862905,0.2258275720252906,0.2486609384110192,46.91293303954654,1.0461862911974869,1.5819782632596637
5,Iteration 6,60.2421191307302,20.271143500146096,948.2025638198728,3.8742797458639098,0.5555491572572585,0.0,0.0,0.0,5.761339319277452,6.124470077114868,0.22710501967744567,0.25593717571603847,47.38966675714601,1.830579568975933,1.5763119877029101
6,Iteration 7,64.7936833707044,18.388151846785487,1030.3711702302721,3.8161912273476224,0.6371548380948286,0.0,0.0,0.0,6.455926369336652,6.842856220548311,0.26993960081743396,0.3063360684997707,50.41894768402987,2.3016866566025227,1.6269087867138048
7,Iteration 8,56.17213671118285,21.912986692465363,987.629423372207,3.934936096912885,0.5527019296879943,0.0,0.0,0.0,5.306998731360227,5.6129369512949046,0.20120666475504997,0.22288475735278238,45.169206285117454,1.284465150905906,1.543033581313967
8,Iteration 9,62.05840702441396,19.095566655500935,988.4281415190774,4.001077976340722,0.6508166833044511,0.0,0.0,0.0,6.2077899535987395,6.552272162887405,0.25346939570544863,0.2838095193929617,49.114288544232494,1.6375774529871359,1.6082952999337596
9,Iteration 10,61.055526650408325,20.79028484425391,983.9315968509725,3.656416894685851,0.6220669465286209,0.0,0.0,0.0,6.002000645355296,6.3495758686326385,0.24099673751250622,0.2701503145181621,48.282417678891704,1.6906771901019284,1.6003611462032143
10,Iteration 11,57.99420459402068,21.645304243331637,1009.1352264372895,3.951616013038688,0.6284335308918265,0.0,0.0,0.0,5.691656031833365,5.993324691269936,0.2222514876639715,0.24561569211733766,46.713808420031455,1.248334814339239,1.5801731657966558
11,Iteration 12,62.47922284438695,21.064028442734113,983.2583098129651,3.9052723167091647,0.6349277914751431,0.0,0.0,0.0,6.202268195517336,6.560099596180734,0.25335415543487594,0.284889923380068,49.17757868113475,1.8042580348910389,1.603828971014439
12,Iteration 13,62.126799030271386,20.932055084284507,991.1405265572774,4.215144481734723,0.6440335618964288,0.0,0.0,0.0,6.206648876402931,6.5526697358862735,0.253422495487649,0.28390136200649746,49.119940794710544,1.6480056220890604,1.614464763429011
13,Iteration 14,62.875584726600145,19.404047333804687,1032.0444514686471,3.961322399800445,0.5917270147750257,0.0,0.0,0.0,6.144506627980399,6.525736490503282,0.2501818446597902,0.28342117390879795,49.08700564558617,2.1135135016273696,1.6095842211606621
14,Iteration 15,59.9774255075322,20.25671392200101,998.7886944171591,4.337334900702285,0.646118565638834,0.0,0.0,0.0,5.983521038096772,6.3001259621937535,0.23940668802694898,0.26573767707632634,48.00804349327563,1.2491080845834897,1.5971159754049595
15,Iteration 16,63.10017749374765,18.851625394553274,886.9450672995017,3.7242352078084147,0.6024917890449992,0.0,0.0,0.0,6.18064087199167,6.562926633015261,0.25242845348077775,0.28605272689901556,49.24339781061007,2.1304976868761214,1.6080998511420084
16,Iteration 17,60.261261107623056,18.447207236700834,985.8297525672664,4.0913751489854056,0.5637823326078454,0.0,0.0,0.0,5.80707599311988,6.163657378143085,0.2296507600083997,0.25823978707397033,47.53541423102885,1.7696083224488672,1.5847391252244558
17,Iteration 18,58.40478253810675,21.520995370421925,1084.8014901256759,4.14205894641306,0.5723589795261942,0.0,0.0,0.0,5.6200376459813235,5.94694426715032,0.21857125434983704,0.24355365615124358,46.58065975647783,1.3871733534642416,1.5707847724882915
18,Iteration 19,63.622611742680114,21.06628365442005,1008.5726045796029,3.8220700817348794,0.6171724281260743,0.0,0.0,0.0,6.272971882845001,6.654409616008298,0.25816765911618733,0.29247429911680944,49.622296113209316,2.0558152042459734,1.6122558074287254
19,Iteration 20,60.81290311452348,18.741987874003662,1017.0915156660385,3.8641684279570683,0.6170213381076954,0.0,0.0,0.0,5.984124555355285,6.327863851425851,0.2398645462055684,0.2685545402404249,48.18313054448313,1.6416577990440178,1.5978478271794412
20,Iteration 21,56.34311496791918,19.813778283723643,1027.3420871802746,3.805169632976157,0.5652634696822632,0.0,0.0,0.0,5.354148924812815,5.658677161660785,0.20370617940185431,0.22551221332104993,45.35205412881326,1.303060095665743,1.547048952599911
21,Iteration 22,62.094132057823174,22.033034012027663,1043.0454944669293,3.700388719310855,0.5518846829526654,0.0,0.0,0.0,5.926509127731969,6.320043153294981,0.2372167029923434,0.26985483816894773,48.26495433322241,2.3367946410193423,1.593273517022431
22,Iteration 23,61.57585209542933,18.534633831925436,969.7357030587945,3.8678609081659365,0.5745449670272399,0.0,0.0,0.0,5.958839674938094,6.3315150389962405,0.23881551397854273,0.26985922753441083,48.26401427970565,2.031298433610156,1.5946909887137852
23,Iteration 24,57.337622549152016,19.017387564388997,1048.8196407430003,3.7554819437020694,0.6392076947290215,0.0,0.0,0.0,5.635631785332513,5.926395243979484,0.21894124363172374,0.24112933319638025,46.41436193541932,1.1450412408470942,1.5740205483982546
24,Iteration 25,62.87050997793848,20.8805331638346,999.7276219596816,4.326590987544828,0.6063258406330405,0.0,0.0,0.0,6.20164670975371,6.571916689440162,0.2535241587453366,0.2862089692527837,49.25460886368721,1.8521915638777988,1.6099849199319516
25,Iteration 26,65.69625626128001,20.980764844934384,969.8162082664743,3.991115302591099,0.6459394091740815,0.0,0.0,0.0,6.573212050470576,6.965920377005097,0.27773195008245294,0.3157819818720364,50.94782314064329,2.364639198783739,1.631101668637537
26,Iteration 27,60.34422757481166,20.382226110979722,1052.4399782368828,4.157433896030012,0.5982218436876463,0.0,0.0,0.0,5.901079438953966,6.243328310526003,0.2349263960984874,0.26293235211918176,47.831882701559984,1.613305963846911,1.5939117956962656
27,Iteration 28,64.7551231384981,21.2706052544801,1007.1015574536125,3.9151164916900054,0.6102620641794926,0.0,0.0,0.0,6.3777584419247075,6.776054118850078,0.2651055066419798,0.30193606702948733,50.16596845684797,2.4385157744603725,1.6188681918552463
28,Iteration 29,59.21811793022885,19.08637527050443,932.1513152362064,4.236450134856941,0.630196808650164,0.0,0.0,0.0,5.859515838448523,6.1732939673574965,0.23205883492684615,0.25738246096598394,47.478445492907646,1.214139935303248,1.5870557364261406
29,Iteration 30,60.68575881740941,20.84393092548188,1044.9584934192862,4.286135513602042,0.6320047793380513,0.0,0.0,0.0,6.02586544037277,6.35750079489813,0.2421681927387143,0.2700857096003697,48.27885388040136,1.4252985007944632,1.6024329228600864
30,Iteration 31,59.96563595532727,19.813254188666935,1014.6661463117911,4.151382406567571,0.6478904271884542,0.0,0.0,0.0,5.97645536031384,6.294074800809454,0.23900272088631308,0.26537554638830546,47.98519202880038,1.2832331360455147,1.5952225463677423
31,Iteration 32,57.97047684904883,19.582748750451795,989.3840417425804,3.6662322491523516,0.6006517375000684,0.0,0.0,0.0,5.613761889152718,5.928423753870732,0.21805186538805166,0.24201765310379386,46.476643325729995,1.3550230676710968,1.5703763384693865
32,Iteration 33,59.969766052989705,18.871750045334803,1086.0408524563688,3.674232620927364,0.6065945942615603,0.0,0.0,0.0,5.853899360516148,6.19289887967513,0.2321184995883327,0.25953276270719017,47.61643789200368,1.6198649195429335,1.5887401497154483
33,Iteration 34,62.23326656323107,20.347546853092535,925.1097606208536,3.779699158247416,0.5682655601484764,0.0,0.0,0.0,5.99746709574365,6.383719335329163,0.24132931384676035,0.2738688141275103,48.510364346082284,2.129731812490319,1.5962564472470024
34,Iteration 35,56.463514165870635,20.069266078570895,1016.0839330479115,3.7288347679779785,0.5739104148179314,0.0,0.0,0.0,5.382584723279583,5.68627962148067,0.20522525984870313,0.2271127510126386,45.463082142960474,1.2364482524649307,1.5525268525281797
35,Iteration 36,57.47531131291713,21.018035378645074,1046.6225996063179,3.7228827837192444,0.5989544368301971,0.0,0.0,0.0,5.553395295522256,5.861496612445233,0.2146036345889803,0.23772257221475834,46.18865183278264,1.2551583967565365,1.5638547104595264
36,Iteration 37,56.52522282508013,20.644739765195588,1011.629905328138,3.767504975271846,0.5780738325180719,0.0,0.0,0.0,5.400207107853863,5.70280126702087,0.20616081090531613,0.22805573762814968,45.52820936681193,1.1859723924679297,1.5537836554996314
37,Iteration 38,58.66473504933309,19.007838229102113,1022.3106045140984,3.7731830240243895,0.5560807351892919,0.0,0.0,0.0,5.590283795655165,5.931801793020711,0.2171060238444496,0.24307137927204797,46.55047134665156,1.6166903774674832,1.567936094464833
38,Iteration 39,62.402377637314856,19.89645205825756,989.7435396531016,3.8313770815258152,0.5502945317862756,0.0,0.0,0.0,5.970738963431934,6.367358118550031,0.2398986096022004,0.27314994991271335,48.46650291385552,2.370369704366463,1.5931478630236668
39,Iteration 40,65.3019487072758,20.39922813786753,969.348538843354,4.181644757958913,0.5714274244313571,0.0,0.0,0.0,6.349019370456357,6.77010030348983,0.263678132134397,0.30247251475907727,50.191327525932344,2.8098055318211252,1.6161890491246504
40,Iteration 41,61.03991616223523,19.386130948135182,1043.710660096452,4.320934725404997,0.5996854502821732,0.0,0.0,0.0,5.9943271245387075,6.343181484177097,0.24055852799273206,0.2697703626163511,48.258752107802785,1.5882275701409176,1.5964612214485099
41,Iteration 42,60.270516672145604,20.92288520173717,1051.4246719834496,3.7824241594584906,0.6474367580148418,0.0,0.0,0.0,5.983972494227263,6.309636174769377,0.2395684957077129,0.2666872392534083,48.06729276732521,1.3879086913699905,1.5903492919326003
42,Iteration 43,63.554584759601624,18.645721695866694,1086.5522463006914,4.307709500335199,0.6019374589310146,0.0,0.0,0.0,6.269605764180891,6.650524940367884,0.2579495724488798,0.29217453536334875,49.60449999682023,2.0632228308556795,1.6120026146296562
43,Iteration 44,63.128981591765964,20.437567911358887,961.3101109188775,3.9096123030767425,0.6054628935108808,0.0,0.0,0.0,6.199104843823143,6.5782727802357766,0.2535178184151959,0.28700662323272746,49.30065962529265,1.913570609942811,1.6040255446249732
44,Iteration 45,59.68852105777096,17.93751624741931,992.4568002788084,3.797484153198922,0.6469294285386216,0.0,0.0,0.0,5.927851119876436,6.245657343876145,0.2361256047131462,0.2622051722386084,47.78499588826974,1.384170349848889,1.5914959950332899
45,Iteration 46,63.13964150763992,21.93584083583091,1078.6964298962796,4.3109330233200795,0.5776920368489773,0.0,0.0,0.0,6.151057607242958,6.538288913125948,0.25068346774545636,0.28453720144221406,49.153517090945414,2.2040721270416097,1.605622858675676
46,Iteration 47,60.768886408033374,21.725922858490357,959.578530206934,3.8531336180253586,0.6404679627791072,0.0,0.0,0.0,6.024452908934906,6.358692277820415,0.242122151904011,0.27025940866126175,48.28959632714827,1.5696881191542125,1.6025700001503245
47,Iteration 48,56.61024823265428,20.77413665440866,970.9950925848884,4.116148885191161,0.6392453898344397,0.0,0.0,0.0,5.565603991162819,5.84375368725037,0.2148733513558746,0.23572378832289992,46.04907231321803,0.9316182139337998,1.569084515023744
48,Iteration 49,55.33786588581624,20.136746893673603,1033.408697626744,3.7804657613697117,0.5667130203332779,0.0,0.0,0.0,5.2400443283829246,5.530143223636537,0.1974774988672026,0.21767441393285522,44.79552045367644,1.0985554280453955,1.5405405853957475
49,Iteration 50,56.89808008942772,19.917442252468234,1026.2558135576148,3.8302537693038072,0.640287630905429,0.0,0.0,0.0,5.588089114990459,5.872162236703722,0.2162000039056793,0.23762069083522255,46.17810428754121,1.0026557776399283,1.5676654264960002
50,Iteration 51,59.955610338073036,21.675700752431236,913.5529018010127,3.902831004764918,0.6211847427028887,0.0,0.0,0.0,5.892273076516098,6.223117021409255,0.23423835024050563,0.26121438827756127,47.72329066682617,1.5274006223962395,1.5911431930341464
51,Iteration 52,55.33361281841011,22.52270714420197,1011.8243884709776,3.6833218711492512,0.5936996956605591,0.0,0.0,0.0,5.288359032872755,5.569684902852551,0.1999180172050319,0.21970283882334637,44.93768168578639,0.9897874717790276,1.5407654090239726
52,Iteration 53,59.481886034840976,20.1875394610957,1073.8127164616653,4.110640092066828,0.5695864964144398,0.0,0.0,0.0,5.7334134124380975,6.076599645339569,0.22522203419472764,0.2522160900618307,47.14857312718423,1.68989962897068,1.576952165080196
53,Iteration 54,61.70746886217162,19.36154645996631,1009.5060633380389,4.326635014196205,0.6503840150612307,0.0,0.0,0.0,6.188020300727874,6.524747395389258,0.25211055929172616,0.28159779645802246,48.982248986804,1.5783451175903005,1.605473009427126
54,Iteration 55,59.99210595622265,20.980152068983283,988.8451675081943,4.220734530844832,0.6397332341154037,0.0,0.0,0.0,5.961538249648908,6.2820485775563215,0.23816281187125848,0.26469378108474867,47.94255632664089,1.3191185482127457,1.5967618507389776
55,Iteration 56,56.97018514694726,19.238154001311102,898.6839607091925,3.7827134074109248,0.5969950593713382,0.0,0.0,0.0,5.499377780996435,5.8006069626377705,0.21153668555467448,0.23383389205036453,45.92403885872642,1.1405413697548326,1.5591186789593148
56,Iteration 57,58.86512892706307,18.331781394320714,969.8891116073311,3.97410909505844,0.637635049573599,0.0,0.0,0.0,5.822838927889566,6.13180237193992,0.2298617224961051,0.25456263103260407,47.29706025301464,1.2402629396341762,1.5863825963624278
57,Iteration 58,63.25650433354643,19.59223516036259,1004.3847891032551,3.912687413956055,0.5978115243523856,0.0,0.0,0.0,6.196043244875081,6.580203809940094,0.2534064034216847,0.2873325952772456,49.319118093658254,2.0566515964513847,1.6091374612529863
58,Iteration 59,57.447438840926345,20.68933452300978,957.6379613059374,4.1796639497875665,0.6506588723604873,0.0,0.0,0.0,5.691718565962104,5.976169027705101,0.22201029775906397,0.24399126942254176,46.60468365072068,1.0358068318468754,1.5770223359953632
59,Iteration 60,58.19299810342037,20.27318331483005,1071.169895885715,4.009654332879677,0.6022557291898066,0.0,0.0,0.0,5.662759259908374,5.976133675617125,0.22078000369406092,0.2449215868639854,46.668973231322646,1.3227340569453014,1.5736696393502394
60,Iteration 61,61.9034068589021,19.62241108902335,991.3176708727881,3.775929804265709,0.5829259022401743,0.0,0.0,0.0,6.00512364211275,6.3797482046216665,0.24161127471572164,0.2731741091345421,48.46792278170458,2.125839721521781,1.5946990875982883
