,#,kVp (kV),th (deg),Air (mm),Al (mm),Cu (mm),Sn (mm),Pb (mm),Be (mm),HVL1 Al (mm),HVL2 Al (mm),HVL1 Cu (mm),HVL2 Cu (mm),Mean energy (keV),Air kerma (uGy),Mean conv. coeff. (Sv/Gy)
0,Iteration 1,60.6586283701593,20.430256504740118,1028.389127321951,4.111323740966514,0.6078262401230625,0.0,0.0,0.0,5.955480286707483,6.298458387405501,0.23815019624631184,0.26658390936824206,48.060810501485456,1.6081572351689117,1.5961089077768773
1,Iteration 2,64.26197600327731,21.79205539594277,1088.3016160242328,4.221488622360884,0.5951645160273368,0.0,0.0,0.0,6.307634865070064,6.702655173266788,0.26058370757091487,0.2964837804755278,49.85326411590397,2.284852207039508,1.6178594657368115
2,Iteration 3,54.14823764180891,20.619163020684752,924.2638797380201,4.344447180437877,0.6517540322606561,0.0,0.0,0.0,5.3053180095726,5.546126706293704,0.20031896034002772,0.21723476187732388,44.74972613657795,0.6455098637563115,1.5465149077066238
3,Iteration 4,58.24503039841266,20.298221294110355,1042.845417164016,3.6849262876081905,0.649003303224472,0.0,0.0,0.0,5.754098818669694,6.0540158138020805,0.2257691773802575,0.24933366874950572,46.95744000706302,1.1179154324482516,1.5831340291545906
4,Iteration 5,60.26155689449131,20.056310647352433,994.6909389964044,4.0497627955300715,0.5963809053217491,0.0,0.0,0.0,5.881223912170952,6.224386787398965,0.2337704179728001,0.26172135012187336,47.755429961046204,1.555654393184798,1.5908200675211366
5,Iteration 6,59.230332823457495,20.503035576215378,1017.0626930750625,4.239586097902741,0.5738815324796956,0.0,0.0,0.0,5.724138514755989,6.060614338593984,0.22458808343803677,0.2509721600954273,47.06736385754246,1.5570788185623448,1.579604366708012
6,Iteration 7,57.91947212513685,18.603254024474502,1055.763702483469,4.053393449522919,0.5547916718337009,0.0,0.0,0.0,5.525782772939561,5.853865899592268,0.21334541042750851,0.2378699396327311,46.20167394526934,1.481861969736427,1.5652811864367486
7,Iteration 8,55.871871473447705,21.417221797890804,1039.9706689413376,3.858583571626769,0.5721435126641482,0.0,0.0,0.0,5.315475164964532,5.6103165558384696,0.20152296942415143,0.2224237190362408,45.13364192913321,1.1580695402372265,1.5416487760814646
8,Iteration 9,61.28041788671524,19.939060115354255,972.9816873637461,4.335305955440433,0.5975207644165335,0.0,0.0,0.0,6.013727312826072,6.366684207214583,0.24177768301874117,0.2714879122501759,48.3648241136651,1.592993412349157,1.5937799445006497
9,Iteration 10,55.56357132266122,20.802272933427812,995.5415321365999,4.317284209240905,0.5558663291279523,0.0,0.0,0.0,5.272486938075783,5.564354199441478,0.19921007782474226,0.21968911700063742,44.9396524291933,1.0874737168187245,1.5420112265318653
10,Iteration 11,58.5130609041438,19.307413281573623,1030.642597521666,4.326504680070745,0.5503356916964595,0.0,0.0,0.0,5.596128008188103,5.931419448654912,0.21735044414254673,0.24285737932280804,46.53552396457355,1.5415127713256551,1.5682944889009092
11,Iteration 12,56.34968442989074,19.62019082366903,961.5582691805618,4.200947272346629,0.598651578713944,0.0,0.0,0.0,5.456104996020745,5.744041576562692,0.20899739647423815,0.23006223152897304,45.663422663162955,1.0724153297105792,1.5614240950226037
12,Iteration 13,58.08394643603979,21.75932077062125,1025.5670077784687,4.284221651864044,0.5665015662406777,0.0,0.0,0.0,5.578435127597632,5.901775473942815,0.2161989683524388,0.24065804598681917,46.38794973341049,1.3683482481058766,1.5679710103094693
