,#,kVp (kV),th (deg),Air (mm),Al (mm),Cu (mm),Sn (mm),Pb (mm),Be (mm),HVL1 Al (mm),HVL2 Al (mm),HVL1 Cu (mm),HVL2 Cu (mm),Mean energy (keV),Air kerma (uGy),Mean conv. coeff. (Sv/Gy)
0,Iteration 1,59.02158738673329,21.714382198511323,980.6381749847583,3.661809463187134,0.6108072919828913,0.0,0.0,0.0,5.748872321217817,6.074046902263333,0.22584559043825816,0.2514531388280814,47.09763574025795,1.4264843273170984,1.5787426650789305
1,Iteration 2,56.09015991416561,19.927194540164603,973.1900404987516,3.7319294415553794,0.5940302050616802,0.0,0.0,0.0,5.386549130687085,5.6773979401418035,0.20527555470810985,0.2262206857253707,45.39803245923293,1.1183036610073185,1.552973408830098
2,Iteration 3,62.56121708334176,19.46618795373527,1010.4471288983489,3.829266652451246,0.5793004640686436,0.0,0.0,0.0,6.068752450008876,6.453323091601515,0.24561141614123505,0.27855495346273507,48.79464879282822,2.183992148389539,1.6043726833943939
3,Iteration 4,57.01090395259294,21.572399946790096,1027.4026874706913,3.9846259568744835,0.5762595264444862,0.0,0.0,0.0,5.462451037198388,5.770266373084009,0.20960391632927786,0.23221815487381606,45.815597220556135,1.2664127740805193,1.5575194535329797
4,Iteration 5,57.20447887936488,19.377009462926445,1052.4651345891575,3.9741233117800783,0.5658573754615437,0.0,0.0,0.0,5.465439136964859,5.779913294482581,0.2098484555887294,0.23298486819113595,45.86883688810682,1.1972239323657419,1.5549654398378405
5,Iteration 6,61.22469196957686,19.519065835044906,1036.481926761853,3.689231576120439,0.6035327049708312,0.0,0.0,0.0,5.981047678602174,6.338195992636919,0.239889330052907,0.2697328119811847,48.256208936309285,1.7831478142175838,1.5915829205295868
6,Iteration 7,61.92046335512751,20.226050476630096,983.2392363356173,3.856498337500083,0.6264003254063726,0.0,0.0,0.0,6.121057884638847,6.475726738928157,0.24830635223510075,0.2789435072090274,48.820184642044936,1.7308406949471946,1.604993013404434
7,Iteration 8,57.8543048597552,20.261041829341217,917.8173377236235,3.7446968733614314,0.5664957799683938,0.0,0.0,0.0,5.520868839064049,5.847070416632075,0.2130470519093729,0.2373984026287968,46.16987802929859,1.4206289651976893,1.560510199723161
8,Iteration 9,63.33399615451991,20.856513171645844,957.0627973587975,3.810993806898725,0.5665551833442216,0.0,0.0,0.0,6.10657529358275,6.508525879811206,0.2481962705085597,0.2830337151833769,49.06245656806484,2.3523490147534982,1.5972629649436558
9,Iteration 10,60.143357248354704,19.24067603852848,1003.4949612816988,3.8652413533878356,0.6031128604516622,0.0,0.0,0.0,5.875302941616518,6.216039398854221,0.23339225598599572,0.2610951846988642,47.71561491022203,1.5535733783197414,1.58733426718523
10,Iteration 11,59.13140455236313,20.674348978399966,972.5906737172866,4.242866352817182,0.5609005570056413,0.0,0.0,0.0,5.6801493451470995,6.020811247652065,0.22215109392728702,0.24860476178999094,46.91403639676606,1.6375672408085646,1.579318397549221
11,Iteration 12,57.18173865352119,21.209012043997607,1014.9782296875427,4.002291272028235,0.5778201966298941,0.0,0.0,0.0,5.487632946028108,5.796986751966942,0.21099568535393698,0.23386024755270762,45.92770870640883,1.2807794771571799,1.5643356232985162
12,Iteration 13,60.90937383496028,20.07493773863547,963.8996221215168,3.815041138292147,0.6088941170221202,0.0,0.0,0.0,5.966506310299246,6.315795795174501,0.23890607160102328,0.267962471600132,48.146620828174306,1.7227479989281962,1.59258136232151
13,Iteration 14,60.80669980001774,19.3669782817654,1038.8880871861834,4.179948992767766,0.6308482616411616,0.0,0.0,0.0,6.034615586014666,6.369199000141209,0.2427403139039036,0.27097237495495263,48.333361582786885,1.5539823714247858,1.6014247016441112
14,Iteration 15,58.02845324651443,20.926184333789347,1007.6333432909615,4.053525309505878,0.5916418052307065,0.0,0.0,0.0,5.619774462050436,5.934738438812757,0.21839226658934405,0.24241947784795234,46.50370037066164,1.2584500345553211,1.567870346614279
15,Iteration 16,58.7377635640888,19.30809268495664,978.0187368468397,3.7322743672537357,0.6261478879613822,0.0,0.0,0.0,5.764703138127917,6.079000105781994,0.22658650272762268,0.25138862534268536,47.09210351842223,1.2395357634003672,1.5760433593926544
16,Iteration 17,58.8364591938153,20.4836995712825,948.5510899771834,4.027434978868062,0.5690420919759047,0.0,0.0,0.0,5.654179404162825,5.989786649891661,0.22061014225620681,0.24649291156747252,46.775192961338455,1.5491251457866722,1.5732310891904935
17,Iteration 18,56.278443783629385,19.86477842227987,959.4435364566855,3.80290102361419,0.5722880809049045,0.0,0.0,0.0,5.362779807540489,5.663742413717033,0.20412095256089413,0.22570413278269702,45.36450122342229,1.1292943955551873,1.5416907919862872
18,Iteration 19,65.66884596145337,19.74721795866948,1073.3956188927348,4.073976769956933,0.5834501257070388,0.0,0.0,0.0,6.4147319742469,6.835816538031244,0.2679007149004488,0.3073134112368054,50.4652138382752,2.6662672155503344,1.6193083318954886
19,Iteration 20,57.619148625718275,20.097756744341268,1069.2465482224225,4.1066832400671025,0.6093839948119288,0.0,0.0,0.0,5.620187191275957,5.922129283153995,0.21823338416642218,0.24122764043985928,46.422507305158746,1.220273588718742,1.5716843717382873
20,Iteration 21,62.55306647910827,19.83212142240415,942.4043676775004,4.0213730552484535,0.5569223619515713,0.0,0.0,0.0,6.019048265647246,6.411932787586641,0.2427394088871461,0.2760409257984189,48.64241353048596,2.325723408393736,1.5956954110144244
21,Iteration 22,61.06364082915703,19.399851062490686,1009.7859382657023,4.122806141579375,0.5490579644872501,0.0,0.0,0.0,5.852043946017177,6.226389511288651,0.23254026396840846,0.2629544513041593,47.83482161606051,2.058507399959847,1.583788807603321
22,Iteration 23,59.07148696207081,20.93033128567641,951.1698192763421,3.762206108793008,0.5669456348740398,0.0,0.0,0.0,5.655029417588746,5.99802292706094,0.2207648340502276,0.24725053844942166,46.825885539399145,1.6002743584620898,1.5717843201651438
23,Iteration 24,59.44321142517156,21.009712211906884,1006.2538675824416,4.010707248009284,0.5610246328216021,0.0,0.0,0.0,5.697475603783176,6.045236831716143,0.22323759971756174,0.25038016219282755,47.03042176717133,1.6818828356617292,1.57907322622737
24,Iteration 25,64.92350508858146,20.470196574094373,913.8051716664612,3.8712627050059374,0.5824889499180009,0.0,0.0,0.0,6.31794197254835,6.732691319932559,0.2615922473324808,0.29948149575906785,50.02183119024947,2.658226380671353,1.619648269863946
25,Iteration 26,66.16704092342863,20.033264445398622,956.0400128650767,3.8019894068597657,0.580479044693432,0.0,0.0,0.0,6.433022140412218,6.866372473949431,0.26930880307479726,0.31012250300949046,50.61956686015259,2.9004431439022618,1.619993183383993
