,#,kVp (kV),th (deg),Air (mm),Al (mm),Cu (mm),Sn (mm),Pb (mm),Be (mm),HVL1 Al (mm),HVL2 Al (mm),HVL1 Cu (mm),HVL2 Cu (mm),Mean energy (keV),Air kerma (uGy),Mean conv. coeff. (Sv/Gy)
0,Iteration 1,57.36958085789868,20.57100215144412,932.8106567000525,3.748140581479118,0.5936224626663968,0.0,0.0,0.0,5.531239482542986,5.83974165597996,0.21338286189473538,0.2364129158501847,46.100356024951544,1.3090110337396241,1.5674912307251991
1,Iteration 2,60.70189702346506,19.70665461024622,978.3590719899447,3.9808024889448843,0.630733187733019,0.0,0.0,0.0,6.00875198747207,6.344321588784932,0.24120519482971836,0.2693498253065254,48.23283196028716,1.6384143238958075,1.601291617697651
2,Iteration 3,58.68421331678903,20.35870054348596,1005.7841639831263,4.075323363939594,0.60855152677504,0.0,0.0,0.0,5.736267959151616,6.053140520545351,0.22500020227454268,0.24985002926042674,46.992518478465364,1.360586410094482,1.5779255850063436
3,Iteration 4,64.63497979496451,19.774393184104767,989.5264276304082,4.236848778364698,0.5553946901487317,0.0,0.0,0.0,6.243249265885753,6.662622442148752,0.2569575377031514,0.29461212383012775,49.74042259991985,2.536479422288872,1.6072520871876346
4,Iteration 5,58.876430350600316,20.02869865789306,997.7386706364571,3.95617606276987,0.5613672319734233,0.0,0.0,0.0,5.636049000216854,5.976235370756196,0.21965447372002794,0.24579503101751027,46.72996235133489,1.6136211432926362,1.5672753621998816
5,Iteration 6,62.8083214313174,20.87568851978102,963.8314356659148,3.9573948856517034,0.6310859859594415,0.0,0.0,0.0,6.232000030497353,6.595083944831055,0.25528473909160243,0.2875363272478313,49.3342801194582,1.8764771441957038,1.614484395280991
6,Iteration 7,58.7174725243395,18.884783741758717,1038.2678363639707,3.861720448023775,0.5917682187302895,0.0,0.0,0.0,5.6915323257975325,6.017623133991298,0.2225856647705833,0.24791855866861082,46.86700792421665,1.3672724050841225,1.5778167736779896
7,Iteration 8,60.00453651637058,19.886041083073305,980.8547630987564,4.049181502479869,0.5760369982142294,0.0,0.0,0.0,5.802738852817012,6.151121212246189,0.22928616776467597,0.2571603600506729,47.46636873062919,1.7214270716455524,1.5879515916425653
8,Iteration 9,58.98896340057444,19.137463000049465,1108.0690921029375,3.895910426073115,0.6507597229835405,0.0,0.0,0.0,5.859428576974609,6.165947311703579,0.23195088177355316,0.25666375613282805,47.432234208595546,1.2597235563322926,1.5907828326988114
9,Iteration 10,54.71987080862858,17.34034979531391,984.6953310830098,3.724359612447503,0.5672587399005293,0.0,0.0,0.0,5.174152771092385,5.4556127152953,0.19393067241906795,0.21320691671076378,44.470942929776555,1.013629663739225,1.5304055494650266
