,#,kVp (kV),th (deg),Air (mm),Al (mm),Cu (mm),Sn (mm),Pb (mm),Be (mm),HVL1 Al (mm),HVL2 Al (mm),HVL1 Cu (mm),HVL2 Cu (mm),Mean energy (keV),Air kerma (uGy),Mean conv. coeff. (Sv/Gy)
0,Iteration 1,61.19893528931442,20.51044381848491,1033.5110809483583,3.8058881384216563,0.5528987941333284,0.0,0.0,0.0,5.8497118282808644,6.228450229810346,0.23246463987235153,0.2632392965844167,47.85310605948405,2.155729943954286,1.5842486859305902
1,Iteration 2,64.15556505921359,17.967345365866056,1043.089607425547,3.9619289540372704,0.5899376583584355,0.0,0.0,0.0,6.278028212850386,6.6768751399459765,0.2587880887306468,0.29478486857362657,49.753375910330014,2.325855334176403,1.614590628371477
2,Iteration 3,62.835093888971485,19.290236365637167,984.302358546212,3.8220578684754924,0.6221473274265165,0.0,0.0,0.0,6.209138005619601,6.5777921127754455,0.25396042527780854,0.28654729998834,49.27451418972614,2.014358133488336,1.6107692071330135
3,Iteration 4,60.97183462487685,18.301094699792216,1008.0147681277981,4.061464556597625,0.5699702356011627,0.0,0.0,0.0,5.897625033649687,6.261559940295088,0.23505787834165034,0.264899318446461,47.95573511549478,1.819773798127874,1.5929821026926039
4,Iteration 5,64.2058525893329,18.089286600383872,1045.9927909767805,3.9150958950329473,0.5497664927453074,0.0,0.0,0.0,6.166274542530487,6.586821971485599,0.25217798285177623,0.28924602043491526,49.427283261486714,2.682511995757564,1.6030614755877106
5,Iteration 6,64.06122566665327,20.143878752751625,999.646388816047,4.105142304940226,0.6061915284505518,0.0,0.0,0.0,6.3129826714368615,6.701503313386562,0.26081631690733054,0.2961334409642732,49.833986510228975,2.3478050682497837,1.6215913116039231
6,Iteration 7,63.44687445887617,19.80908853938864,1005.8624253216435,4.066121315403568,0.6421883720997072,0.0,0.0,0.0,6.338188759120929,6.703152702484677,0.26199664204783085,0.2952644689528536,49.78816927427316,1.7976116166502987,1.619940280482499
7,Iteration 8,68.25363804873513,22.36241042836555,1025.6904260797453,4.019796244317307,0.6438236541875331,0.0,0.0,0.0,6.82281078559537,7.247934107025583,0.29529877662769116,0.33930197311688465,52.207445904662364,2.7995908742904003,1.6398615048215153
8,Iteration 9,57.15232623130151,19.33317404468528,975.0291764628532,4.1014140779375445,0.5784930218485995,0.0,0.0,0.0,5.497425329324287,5.804839686568791,0.21150821529769057,0.2342726216877051,45.955068477303655,1.2671395073784086,1.5649459969655506
9,Iteration 10,58.8060530829992,21.228995658287218,940.8040692987796,4.3206425030785205,0.5806752062044301,0.0,0.0,0.0,5.696578103183661,6.023677787264331,0.2228872039489774,0.24833841216907568,46.89511347127878,1.472241616872777,1.5751549934727436
10,Iteration 11,60.62060046884686,19.881374567115,979.2092941995813,4.160564213495269,0.6238509779454721,0.0,0.0,0.0,5.9943455790767155,6.329676170614452,0.24034445276125924,0.2683728413735512,48.17223119409131,1.5080728719675227,1.5972572869324841
11,Iteration 12,58.67315654733359,21.099493963285262,1003.1377593843051,3.789971240677754,0.6243079650808516,0.0,0.0,0.0,5.751385156206845,6.065149163834252,0.22581949678910337,0.2505036947302173,47.034907634346084,1.289747734549258,1.5787233240850687
12,Iteration 13,60.954306571512916,20.823958101258984,1028.0498673892262,3.7116048649234763,0.6492911073691243,0.0,0.0,0.0,6.059613229704308,6.3940860589624435,0.24424828665667822,0.2726417745824783,48.436644373169635,1.5888345634779237,1.5998094875314404
13,Iteration 14,58.24967228636445,19.87528935489713,958.6760467959687,4.3264567558025195,0.6023350258430821,0.0,0.0,0.0,5.689724224240283,6.000520032715894,0.22226332816341238,0.24635027185706587,46.76278353628937,1.2921406388512608,1.5746172622623533
14,Iteration 15,58.83477496605716,18.175723648409747,961.5246891606506,4.105567038092675,0.6416389681234826,0.0,0.0,0.0,5.836567732489148,6.142313087404944,0.23060746895858392,0.25512047924244236,47.33286421007899,1.2049272451697302,1.5845915075279078
15,Iteration 16,62.09010635280587,20.434974879545592,1022.4881562774939,3.6658168678633465,0.577079502099668,0.0,0.0,0.0,5.998411987748344,6.379867418898154,0.24131687980569524,0.27343714780849493,48.484087623410886,1.9449749497802726,1.5974420257436055
16,Iteration 17,57.50458523886915,21.60273230712675,1046.0218079371282,4.168250526913999,0.6433234479581047,0.0,0.0,0.0,5.680289383069293,5.968130329938577,0.22141344555384726,0.24360758633784071,46.57964630522093,1.014402233716353,1.5737190937323542
17,Iteration 18,62.793312514326004,18.466912516876945,993.9010956537187,4.155380081743292,0.6387850035036642,0.0,0.0,0.0,6.270901489042655,6.627760403399416,0.2576068384235296,0.28957147182552045,49.45532118700392,1.7460887202717446,1.6149134036432236
18,Iteration 19,59.82745180840703,19.884310444930634,974.9960674936384,3.9097938115421496,0.6313729836119126,0.0,0.0,0.0,5.908245731929013,6.23300203895936,0.23507931959179085,0.2616341161348649,47.74933127998315,1.4519090366420742,1.593826716499874
19,Iteration 20,67.81938911034803,19.627283134051844,1010.1331499948442,3.877241643747846,0.6163000764014935,0.0,0.0,0.0,6.705205549120903,7.140184694630994,0.287424903404073,0.33121339634471725,51.77235479590622,2.9713107820649443,1.633897815489119
20,Iteration 21,59.74025971434245,17.39387527688508,945.3200584276502,4.20604770800518,0.5670119474315469,0.0,0.0,0.0,5.770614928085981,6.116986132265239,0.2273950701764878,0.25488588317466954,47.320119018792326,1.6605723829413694,1.5821844088920318
21,Iteration 22,59.54145647112923,19.695370637234696,985.4910483174888,4.1240955887979505,0.5502815528575893,0.0,0.0,0.0,5.692262605577989,6.044633261045163,0.22300720071935756,0.250491827070465,47.03802714795918,1.6324376146280448,1.5736146551984114
