,Iterations,Execution time (s)
0,10,7.815701484680176
1,20,16.372559309005737
2,30,23.89929986000061
3,40,31.069582223892212
4,50,39.181779623031616
5,60,48.93510341644287
6,70,54.61274766921997
7,80,62.898210763931274
8,90,73.27425622940063
9,100,81.24739480018616
