,#,kVp (kV),th (deg),Air (mm),Al (mm),Cu (mm),Sn (mm),Pb (mm),Be (mm),HVL1 Al (mm),HVL2 Al (mm),HVL1 Cu (mm),HVL2 Cu (mm),Mean energy (keV),Air kerma (uGy),Mean conv. coeff. (Sv/Gy)
0,Iteration 1,58.47875918351435,19.546465451526153,947.3831163890789,3.6959508508020176,0.6195223761548342,0.0,0.0,0.0,5.716879051365063,6.030740661030113,0.2238568458370971,0.24834579237952517,46.893879675260735,1.281110225256611,1.5740377554084164
1,Iteration 2,57.73521845762509,19.496224420994878,971.513514034437,3.8435322824031495,0.5806159465214616,0.0,0.0,0.0,5.551341702793591,5.868811312016945,0.21460911968212815,0.23844726453917653,46.238587384949476,1.3603203406075188,1.5656899848554442
2,Iteration 3,62.173000877298755,21.544088723137623,1059.8893494687288,3.752023572732589,0.5654393878101003,0.0,0.0,0.0,5.978115933268244,6.365299897324411,0.24018835193032156,0.27266410442544303,48.437039991475714,2.180859427104418,1.5933539408443462
3,Iteration 4,61.334351313749046,18.124210245872106,1027.3327832137295,4.332479020416594,0.5591311556205973,0.0,0.0,0.0,5.927663643081129,6.29809788465748,0.23692694207021137,0.267547334433198,48.1208935174241,1.8937273496591047,1.5891861734643802
4,Iteration 5,60.97987135123776,22.088767875803256,1068.0096661210302,3.907011813060019,0.6445298842588201,0.0,0.0,0.0,6.059920854489106,6.394616498904489,0.24427036974403266,0.2726891672229245,48.43981535012153,1.5600536754313965,1.6019379633745927
5,Iteration 6,66.00508883034509,19.0658880613157,1108.926876486036,3.7856926884599145,0.6461814221375378,0.0,0.0,0.0,6.599489932481979,6.997999284915582,0.27959446780445746,0.31847853585350755,51.09477377139743,2.38086511209057,1.6302086939978395
6,Iteration 7,60.22648394674768,20.09188025993895,1125.4053859720764,4.337796101533611,0.5631719090080977,0.0,0.0,0.0,5.814067076623543,6.167557767580048,0.23001074945867128,0.25839104651281636,47.54517808044596,1.7394119464627602,1.5832795071760093
7,Iteration 8,61.347298510799185,19.06741083608875,947.4139378207681,4.287268215236697,0.5696765357543503,0.0,0.0,0.0,5.949527256407468,6.316140807976194,0.23816466246046264,0.26861257591475707,48.18703875821907,1.9020156733130988,1.591354239516549
8,Iteration 9,60.04856749431927,19.590191509685695,908.8703923944524,3.664194705671545,0.6139396849819081,0.0,0.0,0.0,5.876304294358205,6.21371154357049,0.23340298820586858,0.2608294005528448,47.6987151008469,1.6254145476833939,1.5898939726713035
9,Iteration 10,60.10766698270653,19.80907367684607,896.946642944779,3.8702441978812776,0.5962434110326245,0.0,0.0,0.0,5.8522690903949375,6.195558018352553,0.23208617475410226,0.2598558305675676,47.637383010263854,1.6123079723931473,1.5859621953448473
10,Mean,60.84363069483427,19.84242010612092,1006.1691664845115,3.947619344819741,0.595845171328033,0.0,0.0,0.0,5.932557883526327,6.28485336763283,0.2373110671947353,0.266586105240176,48.029330464040484,1.753608627000202,1.590490442665373
11,Standard deviation,2.1384668986524176,1.1149907228816724,78.3836902973859,0.2534424457689242,0.03169987213488918,0.0,0.0,0.0,0.2605573058677526,0.28155076729451245,0.016241103774638915,0.020105081303985514,1.2148360133933438,0.3270545718921827,0.01636411965461465
12,Relative uncertainty,0.03514693114515234,0.05619227477890785,0.07790309314610915,0.06420133848556188,0.05320152559806064,,,,0.04391989273147668,0.04479830328970072,0.06843803774777858,0.0754168387203534,0.025293627907282415,0.1865037425435436,0.010288725550083382
